Algorithm_Name, Input_Dimensions, Execution_Time(ms)
Naive_GPU,6960,68.457454
Naive_GPU,7024,69.171054
Naive_GPU,7088,69.321971
Naive_GPU,7152,69.63069
Naive_GPU,7216,71.416154
Naive_GPU,7280,72.864494
Naive_GPU,7344,72.966901
Naive_GPU,7408,74.333185
Naive_GPU,7472,76.027673
Naive_GPU,7536,77.908827
Naive_GPU,7600,78.9304
Naive_GPU,7664,80.898341
Naive_GPU,7728,81.650891
Naive_GPU,7792,81.867947
Naive_GPU,7856,83.579858
Naive_GPU,7920,86.439659
Naive_GPU,7984,86.957646
Naive_GPU,8048,88.577788
Naive_GPU,8112,89.155943
Naive_GPU,8176,97.429837
Naive_GPU,8240,92.815865
Naive_GPU,8304,95.268686
Naive_GPU,8368,105.22238
Naive_GPU,8432,118.933664
Naive_GPU,8496,99.070782
Naive_GPU,8560,112.429103
Naive_GPU,8624,101.639256
Naive_GPU,8688,132.577219
Naive_GPU,8752,124.146541
Naive_GPU,8816,109.974573
Naive_GPU,8880,108.558176
Naive_GPU,8944,110.389478
Naive_GPU,9008,113.110948
Naive_GPU,9072,110.802545
Naive_GPU,9136,118.453096
Naive_GPU,9200,115.132607
Naive_GPU,9264,136.611763
Naive_GPU,9328,122.637463
Naive_GPU,9392,120.92375
Naive_GPU,9456,123.133638
Naive_GPU,9520,163.198087
Naive_GPU,9584,134.276959
Naive_GPU,9648,165.404451
Naive_GPU,9712,137.90224
Naive_GPU,9776,135.97334
Naive_GPU,9840,147.890976
Naive_GPU,9904,187.989783
Naive_GPU,9968,150.349005
Naive_GPU,10032,153.932373
Naive_GPU,10096,146.622498
Naive_GPU,10160,148.616962
Naive_GPU,10224,162.007159
Naive_GPU,10288,177.068399
Naive_GPU,10352,154.014175
Naive_GPU,10416,174.684048
Naive_GPU,10480,162.739536
Naive_GPU,10544,160.73562
Naive_GPU,10608,220.547131
Naive_GPU,10672,174.600516
Naive_GPU,10736,159.237396
Naive_GPU,10800,181.6582
Naive_GPU,10864,174.382629
Naive_GPU,10928,171.527878
Naive_GPU,10992,168.105563
