Rows,Cols,CPU_Rows,GPU_Rows,Rate(MB/s),Avg_time,Min_time,Max_time,GPU_Power(W),GPU_Energy(J),CPU_Power(W),CPU_Energy(J),DRAM_Power(W),DRAM_Energy(J),Total_Power_inc_DRAM(W),Total_Energy_inc_DRAM(W),Total_Power_exc_DRAM(W),Total_Energy_exc_DRAM(W),Power_efficiency,t_winner,pe_winner
8192,512,6400,1792,24.6887,0.7157,0.6796,0.7661,69.4465,51.1816,119.672,88.1976,23.4523,0.4432,212.571,139.822,189.119,139.379,0.130546,0,0
8192,512,6528,1664,24.1545,0.7247,0.6946,0.7847,69.1302,51.6387,119.75,89.4507,23.4654,0.4494,212.346,141.539,188.881,141.089,0.127882,0,0
8192,512,6656,1536,24.3512,0.7321,0.689,0.7762,69.0483,52.1213,120.072,90.6363,23.4573,0.454,212.577,143.212,189.12,142.758,0.128761,0,0
8192,512,6784,1408,23.6513,0.7534,0.7094,0.7999,68.9481,53.5425,118.593,92.0947,23.4442,0.4668,210.985,146.104,187.541,145.637,0.126113,0,0
8192,512,6912,1280,23.2662,0.7629,0.7211,0.7931,68.8433,54.1084,118.116,92.8348,23.4268,0.4721,210.386,147.415,186.959,146.943,0.124445,0,0
8192,512,7040,1152,22.9198,0.7736,0.732,0.8303,68.7824,55.0002,118.554,94.7987,23.433,0.4805,210.769,150.279,187.336,149.799,0.122346,0,0
8192,512,7168,1024,22.2926,0.7853,0.7526,0.8284,68.6841,55.6446,118.553,96.0463,23.423,0.4866,210.661,152.178,187.238,151.691,0.11906,0,0
8192,512,7296,896,22.2195,0.7985,0.7551,0.8478,68.6444,56.3881,117.139,96.2244,23.4209,0.4933,209.205,153.106,185.784,152.613,0.119599,0,0
8192,512,7424,768,21.6326,0.8092,0.7756,0.8578,68.5899,57.1268,116.796,97.2764,23.4128,0.5,208.799,154.903,185.386,154.403,0.11669,0,0
8192,512,7552,640,21.2517,0.8265,0.7895,0.8662,68.5456,58.3052,117.305,99.7799,23.413,0.5106,209.263,158.596,185.85,158.085,0.114348,0,0
8192,512,7680,512,21.2367,0.8319,0.79,0.8791,68.5418,58.7381,115.957,99.3716,23.4327,0.5149,207.932,158.625,184.499,158.11,0.115105,0,0
8192,512,7808,384,20.6466,0.8493,0.8126,0.8925,68.5312,59.9611,116.423,101.864,23.4207,0.5254,208.375,162.35,184.954,161.825,0.111631,0,0
8192,512,7936,256,20.5404,0.8552,0.8168,0.8973,68.5001,60.3521,115.632,101.878,23.4132,0.5289,207.546,162.759,184.133,162.23,0.111552,0,0
8192,512,8064,128,20.3058,0.8747,0.8262,0.9221,68.4812,61.6293,114.52,103.062,23.392,0.5398,206.394,165.231,183.002,164.692,0.11096,0,0
8192,512,8192,0,19.9504,0.8569,0.8409,0.9219,0,0,116.449,102.558,23.3667,0.5277,139.816,103.086,116.449,102.558,0.171323,0,0
8192,1024,0,8192,65.2911,0.5162,0.5139,0.5215,189.001,101.858,74.1224,39.9465,23.2187,0.3209,286.342,142.125,263.124,141.804,0.248139,0,0
8192,1024,128,8064,66.4856,0.5104,0.5047,0.526,182.313,97.151,78.3028,41.7261,23.7156,0.324,284.331,139.201,260.615,138.877,0.25511,0,0
8192,1024,256,7936,68.0913,0.5004,0.4928,0.5381,181.903,94.9484,82.5992,43.1145,24.0624,0.322,288.564,138.385,264.502,138.063,0.257432,0,0
8192,1024,384,7808,70.4998,0.4861,0.476,0.5214,184.199,93.5713,86.7011,44.0434,24.2335,0.3157,295.133,137.93,270.9,137.615,0.260243,0,0
8192,1024,512,7680,72.8306,0.4639,0.4607,0.4721,186.466,90.5076,92.0226,44.6663,24.4148,0.3039,302.903,135.478,278.488,135.174,0.261521,0,0
8192,1024,640,7552,75.2294,0.4558,0.446,0.486,185.741,88.5758,96.5305,46.0333,24.6488,0.3014,306.92,134.911,282.271,134.609,0.266515,0,0
8192,1024,768,7424,77.5665,0.4361,0.4326,0.4439,187.022,85.3935,102.268,46.6952,24.8765,0.2912,314.167,132.38,289.291,132.089,0.268127,0,0
8192,1024,896,7296,80.1673,0.4237,0.4186,0.4479,186.799,82.8447,107.699,47.7643,25.0976,0.2854,319.596,130.894,294.498,130.609,0.272217,0,0
8192,1024,1024,7168,83.1047,0.4103,0.4038,0.4661,186.163,80.1763,113.65,48.9463,25.3941,0.2804,325.207,129.403,299.813,129.123,0.277188,0,0
8192,1024,1152,7040,85.5928,0.4054,0.392,0.437,185.269,78.7256,118.712,50.4437,25.6189,0.2791,329.6,129.448,303.981,129.169,0.281573,0,0
8192,1024,1280,6912,87.782,0.4034,0.3822,0.4403,181.908,77.0384,123.909,52.4755,25.7553,0.2797,331.572,129.794,305.817,129.514,0.287041,0,0
8192,1024,1408,6784,89.6628,0.4254,0.3742,0.472,175.23,78.1706,125.288,55.8911,25.8195,0.2953,326.337,134.357,300.517,134.062,0.298361,1,1
8192,1024,1536,6656,82.0678,0.4515,0.4089,0.485,167.005,78.4617,126.411,59.3899,25.8262,0.3111,319.242,138.163,293.416,137.852,0.279698,0,0
8192,1024,1664,6528,80.0741,0.4745,0.419,0.5287,159.433,79.1098,127.715,63.3712,25.9214,0.3298,313.069,142.811,287.148,142.481,0.27886,0,0
8192,1024,1792,6400,75.1868,0.5155,0.4463,0.5737,149.772,79.786,126.811,67.5541,25.7607,0.3519,302.344,147.692,276.583,147.34,0.271842,0,0
8192,1024,1920,6272,69.2155,0.5376,0.4848,0.6324,142.076,79.1547,127.749,71.173,25.854,0.3693,295.679,150.697,269.825,150.328,0.25652,0,0
8192,1024,2048,6144,64.4316,0.5715,0.5208,0.6246,135.889,80.1394,127.532,75.2107,25.8556,0.391,289.277,155.741,263.421,155.35,0.244595,0,0
8192,1024,2176,6016,63.5908,0.5965,0.5277,0.717,129.982,80.1965,127.897,78.9102,25.8424,0.4088,283.721,159.516,257.878,159.107,0.246592,0,0
8192,1024,2304,5888,62.2083,0.6166,0.5394,0.6874,126.422,80.628,128.867,82.1868,25.8587,0.4229,281.148,163.238,255.289,162.815,0.243678,0,0
8192,1024,2432,5760,59.9637,0.6362,0.5596,0.7026,122.015,79.8782,130.148,85.2023,25.8708,0.4343,278.034,165.515,252.163,165.081,0.237797,0,0
8192,1024,2560,5632,55.8838,0.6511,0.6004,0.7514,118.756,79.6006,131.023,87.8227,25.8248,0.4438,275.604,167.867,249.779,167.423,0.223733,0,0
8192,1024,2688,5504,54.2814,0.6753,0.6182,0.784,115.54,80.3688,130.776,90.9665,25.7274,0.4589,272.044,171.794,246.317,171.335,0.220372,0,0
8192,1024,2816,5376,50.9662,0.7156,0.6584,0.8035,111.888,82.4146,129.781,95.5935,25.7604,0.4865,267.429,178.495,241.669,178.008,0.210893,0,0
8192,1024,2944,5248,50.1928,0.7318,0.6685,0.8159,109.368,82.5825,130.196,98.3095,25.6051,0.4957,265.169,181.388,239.564,180.892,0.209517,0,0
8192,1024,3072,5120,49.1399,0.7389,0.6828,0.8441,107.335,81.9243,131.974,100.731,25.7485,0.5039,265.057,183.159,239.308,182.655,0.205341,0,0
8192,1024,3200,4992,47.1411,0.7758,0.7118,0.8549,104.807,83.6358,130.953,104.5,25.5805,0.5234,261.341,188.659,235.761,188.136,0.199953,0,0
8192,1024,3328,4864,45.0727,0.795,0.7445,0.9206,102.536,84.1396,130.933,107.441,25.4912,0.5363,258.96,192.117,233.469,191.581,0.193056,0,0
8192,1024,3456,4736,44.0721,0.8245,0.7614,0.951,100.803,85.5251,130.299,110.55,25.4191,0.553,256.521,196.628,231.102,196.075,0.190704,0,0
8192,1024,3584,4608,42.4402,0.8453,0.7906,0.9549,98.9625,86.191,130.642,113.782,25.5043,0.5696,255.109,200.543,229.605,199.973,0.18484,0,0
8192,1024,3712,4480,40.5516,0.883,0.8275,1.0079,97.0919,88.2087,129.648,117.786,25.3647,0.5909,252.105,206.586,226.74,205.995,0.178846,0,0
8192,1024,3840,4352,39.4097,0.8896,0.8514,0.9758,95.794,87.6785,130.338,119.296,25.4681,0.5977,251.6,207.572,226.132,206.975,0.174277,0,0
8192,1024,3968,4224,38.6336,0.9296,0.8685,1.0601,94.4359,90.3344,129.133,123.524,25.3221,0.6211,248.891,214.48,223.569,213.859,0.172804,0,0
8192,1024,4096,4096,37.0888,0.9549,0.9047,1.097,92.8719,91.586,128.823,127.039,25.4192,0.6428,247.114,219.268,221.695,218.625,0.167297,0,0
8192,1024,4224,3968,36.2878,0.9653,0.9247,1.1361,92.3357,91.6759,129.938,129.01,25.425,0.6473,247.699,221.333,222.274,220.685,0.163257,0,0
8192,1024,4352,3840,35.0193,1.0169,0.9582,1.1514,90.3779,94.6987,127.655,133.758,25.3862,0.682,243.419,229.139,218.033,228.457,0.160615,0,0
8192,1024,4480,3712,33.9671,1.0258,0.9879,1.1249,89.417,94.3927,128.215,135.35,25.1632,0.6811,242.795,230.423,217.632,229.742,0.156076,0,0
8192,1024,4608,3584,33.3773,1.0545,1.0053,1.1493,88.4299,95.8661,127.501,138.223,25.1526,0.6992,241.084,234.788,215.931,234.089,0.154574,0,0
8192,1024,4736,3456,32.4512,1.0764,1.034,1.1632,87.937,97.3094,128.229,141.895,25.2338,0.716,241.4,239.921,216.166,239.205,0.150122,0,0
